Age,Gender,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
  31 Year,Male,30839,29956,31339,29242,31911,29276,24870,26016,26758,25903,27854,28368,28202,28098,28292,27230,27949,26494,26769,27736,28925,28007,28003,26469,26489,28331,28654,30356,30281,31259,30621,30650,31255,31284,31149,29543,29495,28012,27005,26604,24548,23025,21750,22002,21527
  32 Year,Male,30392,32006,30075,31649,29506,25195,26276,27010,26120,28128,28551,28435,28211,28308,27706,29527,27296,27630,28502,29694,28428,27899,27013,26708,28518,29052,30842,30679,31684,30928,30869,31407,31465,31375,30303,29654,28164,27132,26753,24751,23219,21950,22171,21681,20206
  33 Year,Male,32410,30761,32586,29190,25470,26555,27227,26336,28263,28777,28524,28327,28425,27685,29953,28629,28364,29229,30443,29125,28213,26885,27192,28905,29256,31191,31121,32061,31323,31138,31590,31571,31544,30487,30436,28329,27265,26906,24920,23382,22130,22318,21804,20351,20293
  34 Year,Male,31147,33326,30017,25188,26749,27486,26546,28465,28888,28619,28421,28585,27803,29898,29001,29536,29841,31144,29762,28939,27193,27032,29293,29521,31408,31494,32512,31678,31412,31780,31720,31651,30625,30634,29169,27445,27082,25088,23535,22281,22442,21895,20491,20447,13978
  35 Year,Male,33627,30657,25927,26466,27649,26749,28561,28999,28673,28499,28608,27833,29941,29013,29777,30825,31610,30351,29461,27676,27296,29071,29842,31645,31684,32800,32054,31641,31989,31862,31772,30771,30749,29341,28180,27247,25286,23690,22437,22572,22003,20623,20604,14099,10995
  36 Year,Male,30959,26615,27197,27346,26862,28721,29075,28731,28562,28669,27846,29980,28963,29723,31021,32512,30775,29942,28073,27699,29227,29560,31969,31790,32980,32334,31889,32176,32076,31894,30855,30870,29439,28351,27963,25472,23865,22589,22663,22097,20730,20732,14205,11084,13392
  37 Year,Male,27008,27828,28099,26516,28801,29210,28760,28594,28618,27852,29923,28911,29739,30995,32659,31643,30251,28458,28125,29595,29753,31653,32046,33252,32543,32098,32382,32204,32051,30998,30982,29539,28450,28158,26143,24038,22754,22765,22152,20820,20853,14289,11160,13500,11753
  38 Year,Male,28140,28700,27154,28333,29222,28825,28636,28646,27826,29912,28868,29721,31030,32622,31805,30877,28685,28459,29930,30052,31841,31677,33450,32667,32227,32516,32370,32165,31199,31054,29616,28535,28221,26325,24683,22909,22874,22216,20895,20959,14363,11214,13596,11854,12096
  39 Year,Male,29058,27780,29018,28684,28823,28613,28629,27806,29874,28863,29714,30963,32579,31744,31056,29252,28590,30190,30295,32095,31762,33002,32822,32309,32603,32439,32305,31330,31152,29688,28583,28279,26419,24841,23454,22988,22289,20969,21040,14412,11268,13689,11927,12181,14081
  40 Year,Male,28068,29625,29319,28224,28607,28648,27770,29754,28805,29586,30933,32468,31665,30940,29376,29031,30336,30444,32296,31951,33077,32351,32439,32605,32477,32380,31422,31224,29778,28616,28331,26488,24930,23596,23574,22364,21044,21113,14448,11295,13757,11989,12242,14155,14447
  41 Year,Male,29850,29878,28860,27997,28553,27776,29695,28724,29496,30801,32388,31602,30796,29260,29161,30737,30532,32453,32124,33180,32425,31971,32709,32634,32396,31533,31296,29805,28706,28376,26528,24969,23654,23708,22820,21102,21180,14472,11295,13812,12022,12277,14195,14466,13902
  42 Year,Male,30027,29357,28537,27882,27655,29618,28645,29404,30730,32276,31467,30747,29197,29074,30828,30797,32467,32254,33289,32564,31985,32267,32707,32436,31588,31357,29837,28707,28439,26578,25001,23696,23756,22930,21588,21248,14506,11294,13842,12045,12310,14231,14481,13913,11709
  43 Year,Male,29416,28990,28415,26961,29517,28611,29321,30624,32220,31312,30610,29065,28952,30709,30862,32708,32264,33367,32649,32032,32263,32255,32470,31591,31366,29843,28719,28477,26613,25011,23712,23784,22993,21694,21682,14524,11282,13865,12058,12323,14254,14487,13897,11700,10671
  44 Year,Male,29043,28827,27443,28750,28469,29216,30543,32135,31215,30485,28922,28809,30603,30695,32768,32491,33397,32711,32141,32270,32231,32045,31584,31307,29813,28748,28518,26631,24999,23752,23785,22977,21755,21744,14788,11264,13898,12078,12334,14257,14482,13872,11686,10620,11404
  45 Year,Male,28884,27890,29257,27737,29046,30432,32084,31129,30367,28813,28633,30436,30577,32636,32495,33558,32701,32139,32319,32225,32017,31144,31307,29879,28713,28525,26656,24998,23750,23815,23040,21771,21773,14842,11455,13923,12081,12330,14257,14459,13837,11654,10570,11334,11485
  46 Year,Male,27871,29620,28225,28292,30290,31974,30988,30289,28701,28518,30222,30433,32501,32376,33550,32850,32036,32351,32224,31980,31123,30841,29852,28723,28489,26658,24979,23756,23787,23037,21773,21764,14852,11526,14172,12096,12344,14258,14427,13785,11629,10499,11231,11489,10173
